source,url,publication_date,title,sentence,is_relevant,label_content,pred_content,conf_content,pred_semantic,conf_semantic,pred_final,conf_final,fusion_rule,month
The Observer,https://observer.ug/news/police-recover-gun-used-in-soroti-mobile-money-agent-murder/,2026-04-12,Police recover gun used in Soroti mobile money agent murder,"Kokunda’s smartphone was later discovered abandoned in a bush in Kichinjani Ward, Soroti City.",True,,land_row_dispute,0.42371801724725205,delay_time_overrun,0.09316491335630417,land_row_dispute,0.5,content_preferred,2026-04
The Observer,https://observer.ug/news/court-jails-ex-minister-nandutu-for-four-years-over-iron-sheets-theft/,2026-04-12,Court jails ex-minister Nandutu for four years over iron sheets theft,"The court noted that out of 10,000 iron sheets under the programme, only 1,000 reached the intended beneficiaries. “These are offices held in trust for the good of the people and the country,” Kajuga said. “The project was aimed at supporting disarmament and restoring peace.” The court applied the Constitution (Sentencing Guidelines) Practice Directions of 2013, weighing aggravating and mitigating factors.",True,,land_row_dispute,0.3248252762714697,procurement_irregularity,0.22604244947433472,land_row_dispute,0.5,content_preferred,2026-04
The Observer,https://observer.ug/news/court-jails-ex-minister-nandutu-for-four-years-over-iron-sheets-theft/,2026-04-12,Court jails ex-minister Nandutu for four years over iron sheets theft,"It also held that, as a minister, she had a duty of the highest order to ensure proper implementation of public policy.",True,,delay_time_overrun,0.33222991495485626,governance_oversight_failure,0.20064295828342438,delay_time_overrun,0.5,content_preferred,2026-04
The Observer,https://observer.ug/news/food-prices-rise-in-nebbi-after-vendor-evictions/,2026-04-10,Food prices rise in Nebbi after vendor evictions,The Observer Food prices in Nebbi town have risen following the eviction of street vendors by municipal authorities.,True,land_row_dispute,land_row_dispute,0.4594797188264768,payment_financial_dispute,0.13271187245845795,land_row_dispute,0.5,content_preferred,2026-04
The Observer,https://observer.ug/news/food-prices-rise-in-nebbi-after-vendor-evictions/,2026-04-10,Food prices rise in Nebbi after vendor evictions,"Residents say the eviction has affected food accessibility and affordability, forcing many to move longer distances in search of cheaper meals.",True,land_row_dispute,land_row_dispute,0.49916035488127003,land_row_dispute,0.15356364846229553,land_row_dispute,0.6631810008358914,agree,2026-04
The Observer,https://observer.ug/news/food-prices-rise-in-nebbi-after-vendor-evictions/,2026-04-10,Food prices rise in Nebbi after vendor evictions,"Jeremy Akenda, a resident of Nebbi town, said accessing affordable food has become difficult since the eviction. “The established places where we used to eat local food at Shs 3,000 have raised the price to Shs 5,000, and it is likely to go higher because the local eating joints are no longer in town,” Akenda said.",True,land_row_dispute,land_row_dispute,0.4795919828611987,delay_time_overrun,0.09827085584402084,land_row_dispute,0.5,content_preferred,2026-04
The Observer,https://observer.ug/news/food-prices-rise-in-nebbi-after-vendor-evictions/,2026-04-10,Food prices rise in Nebbi after vendor evictions,"Alice Giramiah, a food vendor along Arua Road in Nebbi municipality, said the eviction of kiosks in the town business centre has affected her business, noting that most of her customers were kiosk operators.",True,land_row_dispute,land_row_dispute,0.5026799864347409,land_row_dispute,0.17736640572547913,land_row_dispute,0.670011598040055,agree,2026-04
The Observer,https://observer.ug/news/food-prices-rise-in-nebbi-after-vendor-evictions/,2026-04-10,Food prices rise in Nebbi after vendor evictions,"She added that despite rising prices elsewhere, she has not increased her charges due to reduced customer turnout. “Before the eviction, I used to sell 5kg of meat daily, but after the eviction, I hardly sell 2kg because most of my customers are no longer available.",True,land_row_dispute,land_row_dispute,0.3782190675707736,contract_management_failure,0.23005443811416626,land_row_dispute,0.5,content_preferred,2026-04
The Observer,https://observer.ug/news/food-prices-rise-in-nebbi-after-vendor-evictions/,2026-04-10,Food prices rise in Nebbi after vendor evictions,"Another vendor, Evelyn Acen, said prices have increased significantly since the eviction.",True,land_row_dispute,land_row_dispute,0.37883225987290814,contract_management_failure,0.21579810976982117,land_row_dispute,0.5,content_preferred,2026-04
The Observer,https://observer.ug/news/food-prices-rise-in-nebbi-after-vendor-evictions/,2026-04-10,Food prices rise in Nebbi after vendor evictions,"Although authorities say the eviction is part of efforts to restore order and improve sanitation, vendors argue they play a vital role in providing affordable meals and are appealing for alternative spaces to operate.",True,land_row_dispute,land_row_dispute,0.3500594603240521,contract_management_failure,0.17844273149967194,land_row_dispute,0.5,content_preferred,2026-04
