source,url,publication_date,title,sentence,is_relevant,label_content,pred_content,conf_content,pred_semantic,conf_semantic,pred_final,conf_final,fusion_rule,month
The Observer,https://observer.ug/news/speaker-among-blocks-debate-on-parliament-corruption/,2024-03-16,Speaker Among blocks debate on parliament corruption,"The opposition also wants a transparent explanation of how Mama Bukedea FM, a local radio station owned and situated in Among’s constituency purportedly secured a Shs 3 billion advertising contract from parliament.",True,,land_row_dispute,0.08350852247851642,procurement_irregularity,0.14635255932807922,land_row_dispute,0.5,content_preferred,2024-03
The Observer,https://observer.ug/news/former-minister-kabafunzaki-found-guilty-of-corruption-fined-shs-10m/,2021-10-08,"Former minister Kabafunzaki found guilty of corruption, fined Shs 10m",The judge issued a warrant of arrest directing security agencies to arrest Kabafunzaki on-site and produce him in the court to comply with the respective orders and sentence.,True,,land_row_dispute,0.08414182455453272,contract_management_failure,0.152303546667099,land_row_dispute,0.5,content_preferred,2021-10
The Observer,https://observer.ug/news/former-minister-kabafunzaki-found-guilty-of-corruption-fined-shs-10m/,2021-10-08,"Former minister Kabafunzaki found guilty of corruption, fined Shs 10m",Kabafunzaki abandoned the trial in March 2021 when it was in its advanced stages pending the opinion of court accessors and judgement.,True,,land_row_dispute,0.0368459836996979,land_row_dispute,0.19760702550411224,land_row_dispute,0.5586132523009525,agree,2021-10
The Observer,https://observer.ug/sports/can-the-kcca-leopards-be-counted-on/,2025-05-28,Can the KCCA Leopards be counted on?,"With the second round of the regular season slated to tip-off this Friday, May 30 at the Lugogo Indoor Stadium, KCCA will return to action against the defending champions, the JKL Lady Dolphins, whom they defeated twelve days ago at Abja Park in Naalya.",True,,land_row_dispute,0.08794979756564525,delay_time_overrun,0.10469615459442139,land_row_dispute,0.5,content_preferred,2025-05
The Observer,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,2024-12-09,Open manhole: KCCA ordered to pay Shs 35m to injured woman,The authority also claimed that there was no evidence of renovation works around the period Nalule cited.,True,,land_row_dispute,0.09144649433618648,procurement_irregularity,0.25422003865242004,land_row_dispute,0.5,content_preferred,2024-12
The Observer,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,2024-12-09,Open manhole: KCCA ordered to pay Shs 35m to injured woman,"However, Nalule’s legal team, led by Nicholas Ssenkumbi, maintained that KCCA failed to meet its statutory obligations under the Kampala Capital City Act, which mandates maintaining roads, drains, and streetlights.",True,,procurement_irregularity,0.07618290490182873,land_row_dispute,0.24670231342315674,procurement_irregularity,0.5,content_preferred,2024-12
The Observer,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,2024-12-09,Open manhole: KCCA ordered to pay Shs 35m to injured woman,He stated that KCCA had been conducting roadworks under a solicitation project but failed to ensure the manholes were covered or to place warning signs.,True,,land_row_dispute,0.08361281851238678,quality_technical_defect,0.30190086364746094,quality_technical_defect,0.5,semantic_override,2024-12
The Observer,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,2024-12-09,Open manhole: KCCA ordered to pay Shs 35m to injured woman,“The defendant/KCCA was carrying out some works on the road under a solicitation project and it was duty bound to cover those manholes or put signs/barriers to alert road users or city dwellers about the eminent risk and danger.,True,,land_row_dispute,0.08942356584325219,land_row_dispute,0.2924962639808655,land_row_dispute,0.5954799574560294,agree,2024-12
The Observer,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,2024-12-09,Open manhole: KCCA ordered to pay Shs 35m to injured woman,"The failure to take reasonable steps to warn the public was a breach of duty,” said Ssekaana.",True,,contract_management_failure,0.07414940162624824,quality_technical_defect,0.3224222660064697,quality_technical_defect,0.5,semantic_override,2024-12
The Observer,https://observer.ug/news/open-manhole-kcca-ordered-to-pay-shs-35m-to-injured-woman/,2024-12-09,Open manhole: KCCA ordered to pay Shs 35m to injured woman,Precedents of negligence This ruling adds to a history of legal actions against KCCA for failing to maintain city infrastructure.,True,,land_row_dispute,0.09186443033075119,contract_management_failure,0.2712772786617279,land_row_dispute,0.5,content_preferred,2024-12
